sport,name,gender,height,weight,dob
water polo,John Mann,M,6-6,250,6/27/1985
water polo,Merrill Moses,M,6-3,215,8/13/1977
water polo,Alex Obert,M,6-6,233,12/18/1991
water polo,Alex Roelse,M,6-7,255,1/10/1995
water polo,Josh Samuels,M,6-4,210,7/8/1991
water polo,Jesse Smith,M,6-4,233,4/27/1983
water polo,KK Clark,W,6-2,160,6/28/1990
water polo,Kami Craig,W,5-11,195,7/21/1987
water polo,Rachel Fattal,W,5-8,145,12/10/1993
water polo,Aria Fischer,W,6-0,173,3/2/1999
water polo,Mackenzie Fischer,W,6-1,165,3/29/1997
water polo,Kaleigh Gilchrist,W,5-9,170,5/16/1992
water polo,Sami Hill,W,6-0,197,6/8/1992
water polo,Ashleigh Johnson,W,6-1,180,9/12/1994
water polo,Courtney Mathewson,W,5-7,154,9/14/1986
water polo,Maddie Musselman,W,5-11,145,6/16/1998
water polo,Kiley Neushul,W,5-8,145,3/5/1993
water polo,Melissa Seidemann,W,6-0,230,6/26/1990
water polo,Maggie Steffens,W,5-8    ,165 ,6/4/1993
weightlifting,Kendrick Farris,M,5-6,207,7/2/1986
weightlifting,Jenny Arthur,W,5-5,165,12/11/1993
weightlifting,Morghan King,W,5-0,110,10/8/1985
weightlifting,Sarah Robles,W,5-10,310,8/1/1988
wrestling,Jordan Burroughs,M,5-7,175,7/8/1988
wrestling,J'Den Cox,M,"5-11","189","3/3/1995"
wrestling,Daniel Dennis,M,"5-5","125","9/24/1986"
wrestling,Frank Molinaro,M,"5-4","155","12/27/1988"
wrestling,Kyle Snyder,M,5-11    ,225    ,11/20/1995
wrestling,Haley Augello,W,"5-2","118","10/17/1994"
wrestling,Adeline Gray,W,5-8,170,1/15/1991
wrestling,Helen Maroulis,W,,"125","9/19/1991"
wrestling,Elena Pirozhkova,W,"5-6","158","10/13/1986"
wrestling,Andy Bisek,M,5-10,180,8/18/1986
wrestling,Tervel Dlagnev,M,"6-2","270","11/19/1985"
wrestling,Ben Provisor,M,"5-8","195","6/26/1990"
wrestling,Robby Smith,M,6-0,280,1/30/1987
wrestling,Jesse Thielke,M,"5-7","150","6/9/1992"
